"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5292561",-121.48448,38.57299,2011,"3404","0","2","3","10",0,1,"A","Y",,,,,1200,7,"G","B","B","N ST","18TH ST",0,,"Y","2012-11-30",3404,"2011-07-26",926,"0420","3M","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"Y",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5294788",-121.5068,38.5667,2011,"3404","0","6","4","-",0,1,"A","Y",,,,,1200,4,"D","B","B","X ST","15TH ST",0,,"Y","2012-12-20",3404,"2011-04-02",1050,"0305",,"5","7","0","0",,"0","04A","-","N",,,0,,,0,,,,"N",2,"A","-",0,,"N","A","H","-","A","A","0","Y","D","22",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5303894",-121.44271,38.61564,2011,"3404","0","4","4","11",0,1,"A","Y",,,,,1200,9,"G","B","B","DEL PASO BL","ELEANOR AV",0,,"Y","2013-01-02",3404,"2011-09-01",914,"747","SACRA","5","7","0","0",,"0","02B","-","N",,,0,,,0,,,,"N",2,"A","-",21456,,"N","A","H","-","A","A","0","Y","N","60",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5308900",-121.428888323,38.4795937956,2011,"3404","0","3","4","10",0,1,"A","Y",,,,,2100,9,"-","B","B","SEYFERTH WY","LA MANCHA WY",6,"W","N","2012-12-10",3404,"2011-09-07",2048,"403",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5309337",-121.412419729,38.5502569147,2011,"3404","0","2","4","10",0,1,"F","Y",,,,,1500,8,"D","B","B","FOLSOM BL","HORNET DR",10,"E","N","2013-02-05",3404,"2011-08-09",1200,"0695",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5330542",-121.47915,38.57155,2011,"3404","0","6","3","10",0,1,"A","Y",,,,,900,10,"G","B","B","N ST","22ND ST",0,,"Y","2013-01-09",3404,"2011-10-08",819,"0756","CENTR","5","7","0","0",,"0","03B","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,1,0,0,0,0,"EO","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5330823",-121.48919,38.57917,2011,"3404","0","6","4","10",0,1,"A","Y",,"Y",,"Y",2400,10,"G","B","B","13TH ST","J ST",8,,"N","2012-12-23",3404,"2011-10-08",2333,"0880","3M","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","E","A","0","Y","C","06",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5333936",-121.50112,38.57992,2011,"3404","0","5","4","12",0,1,"A","Y",,,,,1800,10,"G","B","B","L ST","5TH ST",0,,"Y","2012-12-27",3404,"2011-10-14",1532,"0745","SACRA","5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"N",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5345597",-121.508424118,38.6274457592,2011,"3404","0","2","3","10",0,1,"A","Y",,,,,2100,9,"G","B","B","SAN JUAN RD","AZEVEDO DR",14,"E","N","2012-12-18",3404,"2011-09-27",1826,"0319",,"5","7","0","0",,"0",,"-","N",,,0,,,0,,,,"Y",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","07",0,1,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"5346114",-121.489424271,38.5490148804,2011,"3404","0","4","4","10",0,1,"A","Y",,,,,900,10,"G","B","B","FREEPORT BL","WELLER WY",45,"N","N","2012-12-28",3404,"2011-10-13",759,"0298",,"5","7","0","0",,"0","04A","-","N",,,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
